name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
O1	EEG	V	0.0	500.0	ElectroEncephaloGram	1000.0	good	n/a
O2	EEG	V	0.0	500.0	ElectroEncephaloGram	1000.0	good	n/a
