onset	duration	trial_type	value	sample
22.064	30.0000	eyes_closed	1	22064
52.071	10.0000	eyes_open	2	52071
65.096	30.0000	eyes_closed	1	65096
95.103	10.0000	eyes_open	2	95103
108.128	30.0000	eyes_closed	1	108128
138.136	10.0000	eyes_open	2	138136
